time_ms,packet_delay_ms,normalized_delta_phi,is_replay,detected_by_threshold
48100,1.915556,0.028821,0,0
48200,1.894363,0.027891,0,0
48300,7.593730,0.026900,0,0
48400,8.002665,0.025830,0,0
48500,2.550282,0.024864,0,0
48600,6.146247,0.023810,0,0
48700,5.399598,0.022818,0,0
48800,5.729584,0.021770,0,0
48900,4.505215,0.020707,0,0
49000,2.698640,0.019645,0,0
49100,0.602495,0.018643,0,0
49200,6.933947,0.017626,0,0
49300,0.455753,0.016610,0,0
49400,8.035216,0.015541,0,0
49500,5.687411,0.014481,0,0
49600,7.247153,0.013427,0,0
49700,6.106859,0.012422,0,0
49800,8.704148,0.011383,0,0
49900,5.935494,0.010234,0,0
50000,2.305450,0.009159,0,0
50100,8.452227,0.008085,0,0
50200,3.877754,0.006990,0,0
50300,4.060144,0.005833,0,0
50400,7.759822,0.004732,0,0
50500,7.502502,0.003579,0,0
50600,5.658999,0.002409,0,0
50700,2.407512,0.001257,0,0
50800,6.732147,0.000161,0,0
50900,6.221564,0.000966,0,0
51000,6.145955,0.002140,0,0
51100,0.776653,0.003292,0,0
51200,0.831354,0.004391,0,0
51300,6.711411,0.005519,0,0
51400,0.390581,0.006672,0,0
51500,6.050697,0.007846,0,0
51600,1.536396,0.009001,0,0
51700,0.814248,0.010124,0,0
51800,0.761304,0.011253,0,0
51900,2.923916,0.012387,0,0
52000,4.762362,0.013517,0,0
52100,1.840218,0.014736,0,0
52200,2.640355,0.015910,0,0
52300,4.874319,0.017080,0,0
52400,6.572125,0.018221,0,0
52500,6.738523,0.019320,0,0
52600,7.626747,0.020434,0,0
52700,8.560710,0.021546,0,0
52800,1.906604,0.022705,0,0
52900,5.042456,0.023782,0,0
53000,3.111358,0.024814,0,0
53100,6.742431,0.025893,0,0
53200,8.185782,0.026857,0,0
53300,1.171579,0.027824,0,0
53400,2.414055,0.028787,0,0
53500,3.259556,0.029678,0,0
53600,4.615707,0.030552,0,0
53700,6.280228,0.031467,0,0
53800,3.765814,0.032373,0,0
53900,7.170970,0.033237,0,0
54000,6.715179,0.034073,0,0
54100,5.531378,0.034871,0,0
54200,6.646321,0.035675,0,0
54300,5.838186,0.036508,0,0
54400,6.822424,0.037265,0,0
54500,6.363472,0.038056,0,0
54600,4.643399,0.038813,0,0
54700,8.906068,0.039567,0,0
54800,3.046599,0.040257,0,0
54900,6.028744,0.041014,0,0
55000,4.205509,0.041778,0,0
55100,8.542348,0.042493,0,0
55200,5.063567,0.043228,0,0
55300,5.399259,0.043973,0,0
55400,0.582831,0.044637,0,0
55500,7.094993,0.045390,0,0
55600,7.311496,0.046083,0,0
55700,8.560801,0.046741,0,0
55800,4.714709,0.047410,0,0
55900,5.988333,0.048029,0,0
56000,0.872392,0.048663,0,0
