time_ms,mode,continuity_score,handoff_event_bool
42700,Baseline,0.986689,0
42800,Baseline,0.986048,0
42900,Baseline,0.985402,0
43000,Baseline,0.984767,0
43100,Baseline,0.984114,0
43200,Baseline,0.983458,0
43300,Baseline,0.982792,0
43400,Baseline,0.982122,0
43500,Baseline,0.981464,0
43600,Baseline,0.980818,0
43700,Baseline,0.980165,0
43800,Baseline,0.979516,0
43900,Baseline,0.978880,0
44000,Baseline,0.978249,0
44100,Baseline,0.977606,0
44200,Baseline,0.976944,0
44300,Baseline,0.976288,0
44400,Baseline,0.975632,0
44500,Baseline,0.974966,0
44600,Baseline,0.974311,0
44700,Baseline,0.973658,0
44800,Baseline,0.973013,0
44900,Baseline,0.972375,0
45000,Baseline,0.971748,0
45100,Baseline,0.971115,0
45200,Baseline,0.970484,0
45300,Baseline,0.969845,0
45400,Baseline,0.969206,0
45500,Baseline,0.968581,0
45600,Baseline,0.967946,0
45700,Baseline,0.967305,0
45800,Baseline,0.966651,0
45900,Baseline,0.966016,0
46000,Baseline,0.965395,0
46100,Baseline,0.964756,0
46200,Baseline,0.964103,0
46300,Baseline,0.963438,0
46400,Baseline,0.962785,0
46500,Baseline,0.962141,0
46600,Baseline,0.961494,0
46700,Baseline,0.960838,0
46800,Baseline,0.960212,0
46900,Baseline,0.959575,0
47000,Baseline,0.958940,0
47100,Baseline,0.958309,0
47200,Baseline,0.957681,0
47300,Baseline,0.957037,0
47400,Baseline,0.956403,0
47500,Baseline,0.955783,0
47600,Baseline,0.955151,0
47700,Baseline,0.954520,0
47800,Baseline,0.953897,0
47900,Baseline,0.953268,0
48000,Baseline,0.952632,0
48100,Baseline,0.951993,0
48200,Baseline,0.951326,0
48300,Baseline,0.950689,0
48400,Baseline,0.950046,0
48500,Baseline,0.949405,0
48600,Baseline,0.948768,0
48700,Baseline,0.948145,0
48800,Baseline,0.947515,0
48900,Baseline,0.946864,0
49000,Baseline,0.946227,0
49100,Baseline,0.945594,0
49200,Baseline,0.944968,0
49300,Baseline,0.944316,0
49400,Baseline,0.943677,0
49500,Baseline,0.943028,0
49600,Baseline,0.942374,0
49700,Baseline,0.941731,0
49800,Baseline,0.941088,0
49900,Baseline,0.940440,0
50000,Baseline,0.939799,0
50100,Baseline,0.939174,0
50200,Baseline,0.938569,0
50300,Baseline,0.937948,0
50400,Baseline,0.937317,0
50500,Baseline,0.936678,0
50600,Baseline,0.936032,0
50700,Baseline,0.935395,0
50800,Baseline,0.934738,0
50900,Baseline,0.934092,0
51000,Baseline,0.933448,0
51100,Baseline,0.932799,0
51200,Baseline,0.932143,0
51300,Baseline,0.931483,0
51400,Baseline,0.930818,0
51500,Baseline,0.930139,0
51600,Baseline,0.929477,0
51700,Baseline,0.928798,0
51800,Baseline,0.928147,0
51900,Baseline,0.927491,0
52000,Baseline,0.926855,0
52100,Baseline,0.926222,0
52200,Baseline,0.925593,0
52300,Baseline,0.924979,0
52400,Baseline,0.924374,0
52500,Baseline,0.923772,0
52600,Baseline,0.923165,0
52700,Baseline,0.922532,0
52800,Baseline,0.921903,0
52900,Baseline,0.921283,0
53000,Baseline,0.920652,0
53100,Baseline,0.920008,0
53200,Baseline,0.919365,0
53300,Baseline,0.918732,0
53400,Baseline,0.918125,0
53500,Baseline,0.917505,0
53600,Baseline,0.916880,0
53700,Baseline,0.916266,0
53800,Baseline,0.915641,0
53900,Baseline,0.915018,0
54000,Baseline,0.914381,0
54100,Baseline,0.913741,0
54200,Baseline,0.913092,0
54300,Baseline,0.912447,0
54400,Baseline,0.911819,0
54500,Baseline,0.911187,0
54600,Baseline,0.910553,0
54700,Baseline,0.909915,0
54800,Baseline,0.909278,0
54900,Baseline,0.908652,0
55000,Baseline,0.908042,0
55100,Baseline,0.907408,0
55200,Baseline,0.906789,0
55300,Baseline,0.906163,0
55400,Baseline,0.905521,0
55500,Baseline,0.904883,0
55600,Baseline,0.904239,0
55700,Baseline,0.903598,0
55800,Baseline,0.902965,0
55900,Baseline,0.902344,0
56000,Baseline,0.901712,0
56100,Baseline,0.901072,0
56200,Baseline,0.900440,0
56300,Baseline,0.899806,0
56400,Baseline,0.899186,0
56500,Baseline,0.898565,0
56600,Baseline,0.897946,0
56700,Baseline,0.897319,0
56800,Baseline,0.896695,0
56900,Baseline,0.896071,0
57000,Baseline,0.895425,0
57100,Baseline,0.894769,0
57200,Baseline,0.894135,0
