seed,node_count,loss_rate,mode,mean_phase_error,sync_failure_bool
104284,500,0.100000,Baseline,0.597473,0
104284,500,0.100000,WNN,0.384971,0
112203,10,0.000000,Baseline,0.597603,0
112203,10,0.000000,WNN,0.391275,0
112203,10,0.020000,Baseline,0.598656,0
112203,10,0.020000,WNN,0.387962,0
112203,10,0.050000,Baseline,0.597268,0
112203,10,0.050000,WNN,0.385033,0
112203,10,0.100000,Baseline,0.597793,0
112203,10,0.100000,WNN,0.386555,0
112203,50,0.000000,Baseline,0.596819,0
112203,50,0.000000,WNN,0.390653,0
112203,50,0.020000,Baseline,0.593625,0
112203,50,0.020000,WNN,0.394372,0
112203,50,0.050000,Baseline,0.594632,0
112203,50,0.050000,WNN,0.391610,0
112203,50,0.100000,Baseline,0.597875,0
112203,50,0.100000,WNN,0.388671,0
112203,100,0.000000,Baseline,0.591992,0
112203,100,0.000000,WNN,0.390624,0
112203,100,0.020000,Baseline,0.595432,0
112203,100,0.020000,WNN,0.388327,0
112203,100,0.050000,Baseline,0.600405,0
112203,100,0.050000,WNN,0.387613,0
112203,100,0.100000,Baseline,0.593955,0
112203,100,0.100000,WNN,0.385002,0
112203,500,0.000000,Baseline,0.598543,0
112203,500,0.000000,WNN,0.390779,0
112203,500,0.020000,Baseline,0.597939,0
112203,500,0.020000,WNN,0.394986,0
112203,500,0.050000,Baseline,0.600883,0
112203,500,0.050000,WNN,0.387484,0
112203,500,0.100000,Baseline,0.599393,0
112203,500,0.100000,WNN,0.393053,0
120122,10,0.000000,Baseline,0.594489,0
120122,10,0.000000,WNN,0.390287,0
120122,10,0.020000,Baseline,0.597770,0
120122,10,0.020000,WNN,0.387300,0
120122,10,0.050000,Baseline,0.597196,0
120122,10,0.050000,WNN,0.383956,0
120122,10,0.100000,Baseline,0.597183,0
120122,10,0.100000,WNN,0.387580,0
120122,50,0.000000,Baseline,0.593873,0
120122,50,0.000000,WNN,0.392613,0
120122,50,0.020000,Baseline,0.596519,0
120122,50,0.020000,WNN,0.387147,0
120122,50,0.050000,Baseline,0.597930,0
120122,50,0.050000,WNN,0.391350,0
120122,50,0.100000,Baseline,0.599571,0
120122,50,0.100000,WNN,0.379098,0
120122,100,0.000000,Baseline,0.596286,0
120122,100,0.000000,WNN,0.390533,0
120122,100,0.020000,Baseline,0.601426,0
120122,100,0.020000,WNN,0.387878,0
120122,100,0.050000,Baseline,0.597914,0
120122,100,0.050000,WNN,0.390701,0
120122,100,0.100000,Baseline,0.600566,0
120122,100,0.100000,WNN,0.384702,0
120122,500,0.000000,Baseline,0.597961,0
120122,500,0.000000,WNN,0.391346,0
120122,500,0.020000,Baseline,0.598254,0
120122,500,0.020000,WNN,0.390902,0
120122,500,0.050000,Baseline,0.598424,0
120122,500,0.050000,WNN,0.392884,0
120122,500,0.100000,Baseline,0.594288,0
120122,500,0.100000,WNN,0.390074,0
128041,10,0.000000,Baseline,0.595753,0
128041,10,0.000000,WNN,0.389742,0
128041,10,0.020000,Baseline,0.597780,0
128041,10,0.020000,WNN,0.391639,0
128041,10,0.050000,Baseline,0.600160,0
128041,10,0.050000,WNN,0.387194,0
128041,10,0.100000,Baseline,0.597347,0
128041,10,0.100000,WNN,0.387623,0
128041,50,0.000000,Baseline,0.594185,0
128041,50,0.000000,WNN,0.390276,0
128041,50,0.020000,Baseline,0.595977,0
128041,50,0.020000,WNN,0.389604,0
128041,50,0.050000,Baseline,0.595285,0
128041,50,0.050000,WNN,0.390765,0
128041,50,0.100000,Baseline,0.600016,0
128041,50,0.100000,WNN,0.389461,0
128041,100,0.000000,Baseline,0.598989,0
128041,100,0.000000,WNN,0.394589,0
128041,100,0.020000,Baseline,0.597111,0
128041,100,0.020000,WNN,0.386584,0
128041,100,0.050000,Baseline,0.597293,0
128041,100,0.050000,WNN,0.388218,0
128041,100,0.100000,Baseline,0.597362,0
128041,100,0.100000,WNN,0.385095,0
128041,500,0.000000,Baseline,0.599961,0
128041,500,0.000000,WNN,0.392431,0
128041,500,0.020000,Baseline,0.595480,0
128041,500,0.020000,WNN,0.391782,0
128041,500,0.050000,Baseline,0.598323,0
128041,500,0.050000,WNN,0.390809,0
128041,500,0.100000,Baseline,0.599625,0
128041,500,0.100000,WNN,0.380760,0
135960,10,0.000000,Baseline,0.599464,0
135960,10,0.000000,WNN,0.390966,0
135960,10,0.020000,Baseline,0.596274,0
135960,10,0.020000,WNN,0.389948,0
135960,10,0.050000,Baseline,0.596637,0
135960,10,0.050000,WNN,0.388829,0
135960,10,0.100000,Baseline,0.596628,0
135960,10,0.100000,WNN,0.384236,0
135960,50,0.000000,Baseline,0.597386,0
135960,50,0.000000,WNN,0.390251,0
135960,50,0.020000,Baseline,0.594699,0
135960,50,0.020000,WNN,0.389529,0
135960,50,0.050000,Baseline,0.597419,0
135960,50,0.050000,WNN,0.390647,0
135960,50,0.100000,Baseline,0.599390,0
135960,50,0.100000,WNN,0.381752,0
135960,100,0.000000,Baseline,0.598799,0
135960,100,0.000000,WNN,0.388961,0
135960,100,0.020000,Baseline,0.597560,0
135960,100,0.020000,WNN,0.390634,0
135960,100,0.050000,Baseline,0.599031,0
135960,100,0.050000,WNN,0.383453,0
135960,100,0.100000,Baseline,0.594800,0
135960,100,0.100000,WNN,0.379140,0
135960,500,0.000000,Baseline,0.595387,0
135960,500,0.000000,WNN,0.392628,0
135960,500,0.020000,Baseline,0.599581,0
135960,500,0.020000,WNN,0.390395,0
135960,500,0.050000,Baseline,0.597642,0
135960,500,0.050000,WNN,0.392903,0
135960,500,0.100000,Baseline,0.599985,0
135960,500,0.100000,WNN,0.385872,0
143879,10,0.000000,Baseline,0.597475,0
143879,10,0.000000,WNN,0.392954,0
143879,10,0.020000,Baseline,0.596508,0
143879,10,0.020000,WNN,0.390099,0
143879,10,0.050000,Baseline,0.599468,0
143879,10,0.050000,WNN,0.390598,0
143879,10,0.100000,Baseline,0.598974,0
143879,10,0.100000,WNN,0.389759,0
143879,50,0.000000,Baseline,0.595890,0
143879,50,0.000000,WNN,0.391900,0
143879,50,0.020000,Baseline,0.597612,0
143879,50,0.020000,WNN,0.388263,0
143879,50,0.050000,Baseline,0.595548,0
143879,50,0.050000,WNN,0.393612,0
143879,50,0.100000,Baseline,0.598642,0
143879,50,0.100000,WNN,0.379423,0
143879,100,0.000000,Baseline,0.597002,0
143879,100,0.000000,WNN,0.388547,0
143879,100,0.020000,Baseline,0.597046,0
143879,100,0.020000,WNN,0.392066,0
143879,100,0.050000,Baseline,0.599964,0
143879,100,0.050000,WNN,0.383655,0
143879,100,0.100000,Baseline,0.597627,0
143879,100,0.100000,WNN,0.388872,0
143879,500,0.000000,Baseline,0.598087,0
143879,500,0.000000,WNN,0.394692,0
143879,500,0.020000,Baseline,0.595073,0
143879,500,0.020000,WNN,0.389686,0
143879,500,0.050000,Baseline,0.596867,0
143879,500,0.050000,WNN,0.391758,0
143879,500,0.100000,Baseline,0.594952,0
143879,500,0.100000,WNN,0.387827,0
151798,10,0.000000,Baseline,0.598371,0
151798,10,0.000000,WNN,0.391877,0
151798,10,0.020000,Baseline,0.597150,0
151798,10,0.020000,WNN,0.392208,0
151798,10,0.050000,Baseline,0.598453,0
151798,10,0.050000,WNN,0.388426,0
151798,10,0.100000,Baseline,0.597809,0
151798,10,0.100000,WNN,0.393810,0
151798,50,0.000000,Baseline,0.599063,0
