timestamp_ms,node_i_id,node_j_id,phase_diff_rads,freq_diff_hz
1440,55,56,0.04059870,0.00050000
1440,56,57,0.02617870,0.00050000
1440,57,58,0.02617870,0.00050000
1440,58,59,0.04061312,0.00050000
1440,59,60,0.02617870,0.00050000
1440,60,61,0.02617870,0.00050000
1440,61,62,0.04059870,0.00050000
1440,62,63,0.02619312,0.00050000
1440,63,64,0.02617870,0.00050000
1440,64,65,0.02617870,0.00050000
1440,65,66,0.04059870,0.00050000
1440,66,67,0.02619312,0.00050000
1440,67,68,0.02617870,0.00050000
1440,68,69,0.04059870,0.00050000
1440,69,70,0.02617870,0.00050000
1440,70,71,0.02619312,0.00050000
1440,71,72,0.04059870,0.00050000
1440,72,73,0.02617870,0.00050000
1440,73,74,0.02617870,0.00050000
1440,74,75,0.04061312,0.00050000
1440,75,76,0.02617870,0.00050000
1440,76,77,0.02617870,0.00050000
1440,77,78,0.04059870,0.00050000
1440,78,79,0.02619312,0.00050000
1440,79,80,0.02617870,0.00050000
1440,80,81,0.02617870,0.00050000
1440,81,82,0.04059870,0.00050000
1440,82,83,0.02619312,0.00050000
1440,83,84,0.02617870,0.00050000
1440,84,85,0.04059870,0.00050000
1440,85,86,0.02617870,0.00050000
1440,86,87,0.02619312,0.00050000
1440,87,88,0.04059870,0.00050000
1440,88,89,0.02617870,0.00050000
1440,89,90,0.02617870,0.00050000
1440,90,91,0.04061312,0.00050000
1440,91,92,0.02617870,0.00050000
1440,92,93,0.02617870,0.00050000
1440,93,94,0.04059870,0.00050000
1440,94,95,0.02619312,0.00050000
1440,95,96,0.02617870,0.00050000
1440,96,97,0.04059870,0.00050000
1440,97,98,0.02617870,0.00050000
1440,98,99,0.02619312,0.00050000
